key	Edit with LibreOffice Calc if you are not sure
key	"<a href=""blah"">Message with quotes, escaped according to tsv</a>"
claves	Books<br/>table
de	About /<br/>Credits
ostium	Welcome
verba	Frequency<br/>table
moto	Vroom, vroom
